SAMPLE;PACKAGE;FRAME;STATUS;PLETH;ADDON;CHECKSUM
211;9;11;130;36373;96;133
212;9;12;130;35878;0;52
213;9;13;130;35351;0;35
214;9;14;130;34810;0;3
215;9;15;130;34279;92;74
216;9;16;130;33777;96;86
217;9;17;130;33330;96;150
218;9;18;130;32955;0;189
219;9;19;130;32665;0;154
220;9;20;128;32458;0;200
221;9;21;128;32321;91;154
222;9;22;128;32238;0;235
223;9;23;128;32189;92;22
224;9;24;128;32151;0;148
225;9;25;128;32110;0;107
226;10;1;129;32059;0;57
227;10;2;128;31991;89;76
228;10;3;128;31903;96;251
229;10;4;128;31797;45;94
230;10;5;128;31673;96;20
231;10;6;128;31534;0;41
232;10;7;128;31380;0;142
233;10;8;128;31215;0;232
234;10;9;128;31038;96;151
235;10;10;128;30856;96;224
236;10;11;128;30676;95;42
237;10;12;128;30506;0;33
238;10;13;128;30353;0;135
239;10;14;128;30216;0;254
240;10;15;128;30098;91;226
241;10;16;128;29996;96;129
242;10;17;128;29911;96;43
243;10;18;128;29848;0;140
244;10;19;128;29831;0;123
245;10;20;128;29896;0;188
246;10;21;128;30100;91;228
247;10;22;128;30492;0;19
248;10;23;128;31105;92;214
249;10;24;128;31932;0;184
250;10;25;128;32915;0;147
251;11;1;129;33958;0;171
252;11;2;128;34947;89;228
253;11;3;128;35783;96;50
254;11;4;128;36396;45;103
255;11;5;128;36763;96;10
256;11;6;128;36889;0;41
257;11;7;128;36809;0;216
258;11;8;128;36565;0;227
259;11;9;130;36197;96;212
260;11;10;130;35740;96;9
261;11;11;130;35220;95;254
262;11;12;130;34661;0;110
263;11;13;130;34083;0;42
264;11;14;130;33517;0;241
265;11;15;130;32993;91;62
266;11;16;130;32538;96;123
267;11;17;130;32172;96;11
268;11;18;130;31905;0;159
269;11;19;128;31735;0;242
270;11;20;128;31650;0;157
271;11;21;128;31635;91;233
272;11;22;128;31664;0;171
273;11;23;128;31717;92;60
274;11;24;128;31770;0;22
275;11;25;128;31809;0;61
276;12;1;129;31821;0;74
277;12;2;128;31805;89;146
278;12;3;128;31764;96;112
279;12;4;128;31701;45;253
280;12;5;128;31620;96;223
281;12;6;128;31525;0;32
282;12;7;128;31419;0;181
283;12;8;128;31303;0;65
284;12;9;128;31181;96;38
285;12;10;128;31054;96;167
286;12;11;128;30926;95;37
287;12;12;128;30797;0;69
288;12;13;128;30672;0;199
289;12;14;128;30551;0;78
290;12;15;128;30441;91;58
291;12;16;128;30347;96;225
292;12;17;128;30285;96;163
293;12;18;128;30282;0;64
294;12;19;128;30388;0;170
295;12;20;128;30658;0;185
296;12;21;128;31140;89;246
297;12;22;128;31851;0;103
298;12;23;128;32761;91;83
299;12;24;128;33791;0;2
300;12;25;128;34829;0;21
301;13;1;129;35761;0;189
302;13;2;128;36495;89;246
303;13;3;128;36984;96;232
304;13;4;128;37219;45;161
305;13;5;128;37226;96;219
306;13;6;128;37047;0;199
307;13;7;128;36730;0;137
308;13;8;130;36310;0;229
309;13;9;130;35814;96;83
310;13;10;130;35266;96;45
311;13;11;130;34688;95;232
312;13;12;130;34107;0;66
313;13;13;130;33555;0;24
314;13;14;130;33065;0;44
315;13;15;130;32663;91;243
316;13;16;130;32363;96;203
317;13;17;130;32167;96;6
318;13;18;128;32060;0;57
319;13;19;128;32020;0;17
320;13;20;128;32020;0;17
321;13;21;128;32036;89;122
322;13;22;128;32047;0;44
323;13;23;128;32046;91;134
324;13;24;128;32024;0;21
325;13;25;128;31984;0;236
326;14;1;129;31926;0;179
327;14;2;128;31852;89;193
328;14;3;128;31765;96;113
329;14;4;128;31668;45;220
330;14;5;128;31566;96;169
331;14;6;128;31460;0;222
332;14;7;128;31354;0;116
333;14;8;128;31247;0;9
334;14;9;128;31141;96;254
335;14;10;128;31034;96;147
336;14;11;128;30925;96;37
337;14;12;128;30817;0;89
338;14;13;128;30715;0;242
339;14;14;128;30624;0;151
340;14;15;128;30557;91;175
341;14;16;128;30541;96;164
342;14;17;128;30620;96;243
343;14;18;128;30855;0;127
344;14;19;128;31295;0;57
345;14;20;128;31959;0;211
346;14;21;128;32822;89;143
347;14;22;128;33814;0;26
348;14;23;128;34830;91;113
349;14;24;128;35764;0;191
350;14;25;128;36533;0;195
351;15;1;129;37082;0;235
352;15;2;128;37392;89;123
353;15;3;128;37472;96;210
354;15;4;128;37347;45;33
355;15;5;128;37053;96;45
356;15;6;130;36626;0;35
357;15;7;130;36099;0;18
358;15;8;130;35504;0;188
359;15;9;130;34873;96;163
360;15;10;130;34243;96;42
361;15;11;130;33649;96;214
362;15;12;130;33125;0;104
363;15;13;130;32696;0;185
364;15;14;130;32371;0;115
365;15;15;130;32147;91;237
366;15;16;128;32012;96;105
367;15;17;128;31947;96;39
368;15;18;128;31936;0;188
369;15;19;128;31963;0;215
370;15;20;128;32012;0;9
371;15;21;128;32068;89;154
372;15;22;128;32115;0;112
373;15;23;128;32145;91;233
374;15;24;128;32154;0;151
375;15;25;128;32139;0;136
376;16;1;129;32102;0;100
377;16;2;128;32047;90;134
378;16;3;128;31972;96;64
379;16;4;128;31876;45;173
380;16;5;128;31762;96;110
381;16;6;128;31636;0;143
382;16;7;128;31499;0;6
383;16;8;128;31356;0;118
384;16;9;128;31212;96;69
385;16;10;128;31075;96;188
386;16;11;128;30956;95;67
387;16;12;128;30877;0;149
388;16;13;128;30865;0;137
389;16;14;128;30960;0;232
390;16;15;128;31207;91;59
391;16;16;128;31643;96;246
392;16;17;128;32274;96;112
393;16;18;128;33071;0;48
394;16;19;128;33972;0;184
395;16;20;128;34886;0;78
396;16;21;128;35723;90;240
397;16;22;128;36406;0;68
398;16;23;128;36886;91;129
399;16;24;128;37140;0;37
400;16;25;128;37167;0;64
401;17;1;129;36982;0;135
402;17;2;128;36620;90;117
403;17;3;130;36125;96;140
404;17;4;130;35542;45;15
405;17;5;130;34923;96;213
406;17;6;130;34319;0;23
407;17;7;130;33774;0;243
408;17;8;130;33317;0;41
409;17;9;130;32969;96;43
410;17;10;130;32733;96;62
411;17;11;130;32598;95;182
412;17;12;130;32543;0;32
413;17;13;128;32545;0;32
414;17;14;128;32581;0;68
415;17;15;128;32628;91;206
416;17;16;128;32668;96;251
417;17;17;128;32690;96;17
418;17;18;128;32687;0;174
419;17;19;128;32655;0;142
420;17;20;128;32598;0;85
421;17;21;128;32519;90;96
422;17;22;128;32424;0;166
423;17;23;128;32317;91;150
424;17;24;128;32198;0;195
425;17;25;128;32067;0;64
426;18;1;129;31923;0;176
427;18;2;128;31767;90;109
428;18;3;128;31601;96;204
429;18;4;128;31431;45;238
430;18;5;128;31265;96;123
431;18;6;128;31109;0;126
432;18;7;128;30971;0;243
433;18;8;128;30863;0;135
434;18;9;128;30809;96;177
435;18;10;128;30847;96;215
436;18;11;128;31029;96;142
437;18;12;128;31400;0;162
438;18;13;128;31981;0;233
439;18;14;128;32751;0;238
440;18;15;128;33645;91;203
441;18;16;128;34561;96;104
442;18;17;128;35390;96;168
443;18;18;128;36046;0;218
444;18;19;128;36469;0;131
445;18;20;128;36642;0;49
446;18;21;128;36577;90;73
447;18;22;128;36301;0;218
448;18;23;128;35850;91;113
449;18;24;130;35263;0;202
450;18;25;130;34586;0;35
451;19;1;131;33867;0;82
452;19;2;130;33157;91;227
453;19;3;130;32509;96;93
454;19;4;130;31965;45;8
455;19;5;130;31551;96;156
456;19;6;130;31275;0;39
457;19;7;130;31126;0;145
458;19;8;130;31079;0;98
459;19;9;128;31105;96;218
460;19;10;128;31173;96;30
461;19;11;128;31256;95;113
462;19;12;128;31334;0;96
463;19;13;128;31397;0;159
464;19;14;128;31437;0;199
465;19;15;128;31450;91;47
466;19;16;128;31436;96;38
467;19;17;128;31395;96;253
468;19;18;128;31325;0;87
469;19;19;128;31228;0;245
470;19;20;128;31110;0;127
471;19;21;128;30979;90;86
472;19;22;128;30840;0;112
473;19;23;128;30697;91;59
474;19;24;128;30554;0;81
475;19;25;128;30411;0;193
476;20;1;129;30273;0;56
477;20;2;128;30152;91;24
478;20;3;128;30070;96;203
479;20;4;128;30070;45;152
480;20;5;128;30214;96;92
481;20;6;128;30560;0;87
482;20;7;128;31142;0;159
483;20;8;128;31954;0;206
484;20;9;128;32940;96;12
485;20;10;128;33998;96;50
486;20;11;128;35008;95;39
487;20;12;128;35864;0;36
488;20;13;128;36488;0;150
489;20;14;128;36845;0;252
490;20;15;128;36933;91;176
491;20;16;128;36786;96;33
492;20;17;128;36448;96;206
493;20;18;130;35969;0;143
494;20;19;130;35391;0;75
495;20;20;130;34751;0;200
496;20;21;130;34080;91;130
497;20;22;130;33411;0;135
498;20;23;130;32777;91;102
499;20;24;130;32213;0;212
500;20;25;130;31749;0;3
501;21;1;131;31398;0;163
502;21;2;130;31163;92;18
503;21;3;128;31032;96;145
504;21;4;128;30986;45;48
505;21;5;128;30996;96;109
506;21;6;128;31038;0;55
507;21;7;128;31086;0;103
508;21;8;128;31123;0;140
509;21;9;128;31137;96;250
510;21;10;128;31121;96;234
511;21;11;128;31073;95;185
512;21;12;128;30995;0;12
513;21;13;128;30890;0;162
514;21;14;128;30764;0;36
515;21;15;128;30622;92;241
516;21;16;128;30472;96;95
517;21;17;128;30320;96;198
518;21;18;128;30171;0;208
519;21;19;128;30026;0;63
520;21;20;128;29889;0;181
521;21;21;128;29758;91;141
522;21;22;128;29641;0;188
523;21;23;128;29559;91;197
524;21;24;128;29556;0;103
525;21;25;128;29684;0;231
526;22;1;129;30000;0;38
527;22;2;128;30533;92;152
528;22;3;128;31268;96;126
529;22;4;128;32139;45;181
530;22;5;128;33045;96;118
531;22;6;128;33878;0;90
532;22;7;128;34548;0;250
533;22;8;128;35005;0;197
534;22;9;128;35241;96;18
535;22;10;128;35276;96;53
536;22;11;128;35147;95;179
537;22;12;128;34894;0;86
538;22;13;130;34556;0;4
539;22;14;130;34158;0;117
540;22;15;130;33721;92;26
541;22;16;130;33265;96;84
542;22;17;130;32806;96;136
